Spaltenname;Anzahl Geheimhaltungen;Relative Anzahl Geheimhaltungen;Relative Anzahl Geheimhaltungen von vorhandenen Werten;Anzahl fehlende Werte;Relative Anzahl fehlender Werte
HH_1_1;471;3.75;3.75;0;0.0
HH_1_2;1814;14.46;14.46;0;0.0
HH_1_3;2048;16.33;16.33;0;0.0
HH_1_4;1817;14.49;14.49;0;0.0
HH_1_5;3088;24.62;24.62;0;0.0
HH_1_6;3679;29.33;29.33;0;0.0
HH_2_1;471;3.75;3.75;0;0.0
HH_2_2;1814;14.46;14.46;0;0.0
HH_2_3;1509;12.03;12.03;0;0.0
HH_2_4;9863;78.63;78.63;0;0.0
HH_2_5;3770;30.05;30.05;0;0.0
HH_2_6;3392;27.04;27.04;0;0.0
HH_2_7;4124;32.88;32.88;0;0.0
HH_2_8;3679;29.33;29.33;0;0.0
HH_3_1;471;3.75;3.75;0;0.0
HH_3_2;1814;14.46;14.46;0;0.0
HH_3_3;2138;17.04;17.04;0;0.0
HH_3_4;2687;21.42;21.42;0;0.0
HH_3_5;2715;21.64;21.64;0;0.0
HH_3_6;3538;28.2;28.2;0;0.0
HH_3_7;3907;31.15;31.15;0;0.0
HH_4_1;471;3.75;3.75;0;0.0
HH_4_2;2809;22.39;22.39;0;0.0
HH_4_3;3026;24.12;24.12;0;0.0
HH_4_4;1465;11.68;11.68;0;0.0
FAM_1_1;743;5.92;5.92;0;0.0
FAM_1_2;2048;16.33;16.33;0;0.0
FAM_1_3;1817;14.49;14.49;0;0.0
FAM_1_4;3088;24.62;24.62;0;0.0
FAM_2_1;743;5.92;5.92;0;0.0
FAM_2_2;1509;12.03;12.03;0;0.0
FAM_2_3;9863;78.63;78.63;0;0.0
FAM_2_4;3770;30.05;30.05;0;0.0
FAM_2_5;4124;32.88;32.88;0;0.0
FAM_2_6;3392;27.04;27.04;0;0.0
FAM_3_1;743;5.92;5.92;0;0.0
FAM_3_2;2012;16.04;16.04;0;0.0
FAM_3_3;2646;21.09;21.09;0;0.0
FAM_3_4;2719;21.68;21.68;0;0.0
FAM_3_5;3642;29.03;29.03;0;0.0
FAM_3_6;4693;37.41;37.41;0;0.0
AEWZ;0;0.0;0.0;0;0.0
DEM_1_1;0;0.0;0.0;0;0.0
DEM_1_2;46;0.37;0.37;0;0.0
DEM_1_3;23;0.18;0.18;0;0.0
DEM_2_1;0;0.0;0.0;0;0.0
DEM_2_2;46;0.37;0.37;0;0.0
DEM_2_3;23;0.18;0.18;0;0.0
DEM_2_4;280;2.23;2.23;0;0.0
DEM_2_5;315;2.51;2.51;0;0.0
DEM_2_6;381;3.04;3.04;0;0.0
DEM_2_7;212;1.69;1.69;0;0.0
DEM_2_8;259;2.06;2.06;0;0.0
DEM_2_9;266;2.12;2.12;0;0.0
DEM_2_10;949;7.57;7.57;0;0.0
DEM_2_11;1661;13.24;13.24;0;0.0
DEM_2_12;645;5.14;5.14;0;0.0
DEM_2_13;1399;11.15;11.15;0;0.0
DEM_2_14;1343;10.71;10.71;0;0.0
DEM_2_15;1088;8.67;8.67;0;0.0
DEM_2_16;8488;67.67;67.67;0;0.0
DEM_2_17;9609;76.6;76.6;0;0.0
DEM_2_18;9529;75.96;75.96;0;0.0
DEM_2_19;12101;96.47;96.47;0;0.0
DEM_2_20;12218;97.4;97.4;0;0.0
DEM_2_21;12318;98.2;98.2;0;0.0
DEM_2_22;11562;92.17;92.17;0;0.0
DEM_2_23;11921;95.03;95.03;0;0.0
DEM_2_24;11848;94.45;94.45;0;0.0
DEM_2_25;11024;87.88;87.88;0;0.0
DEM_2_26;11300;90.08;90.08;0;0.0
DEM_2_27;11558;92.14;92.14;0;0.0
DEM_3_1;0;0.0;0.0;0;0.0
DEM_3_2;46;0.37;0.37;0;0.0
DEM_3_3;23;0.18;0.18;0;0.0
DEM_3_4;514;4.1;4.1;0;0.0
DEM_3_5;521;4.15;4.15;0;0.0
DEM_3_6;468;3.73;3.73;0;0.0
DEM_3_7;661;5.27;5.27;0;0.0
DEM_3_8;693;5.52;5.52;0;0.0
DEM_3_9;588;4.69;4.69;0;0.0
DEM_3_10;654;5.21;5.21;0;0.0
DEM_3_11;638;5.09;5.09;0;0.0
DEM_3_12;619;4.93;4.93;0;0.0
DEM_3_13;541;4.31;4.31;0;0.0
DEM_3_14;617;4.92;4.92;0;0.0
DEM_3_15;519;4.14;4.14;0;0.0
DEM_3_16;367;2.93;2.93;0;0.0
DEM_3_17;496;3.95;3.95;0;0.0
DEM_3_18;410;3.27;3.27;0;0.0
DEM_3_19;413;3.29;3.29;0;0.0
DEM_3_20;506;4.03;4.03;0;0.0
DEM_3_21;452;3.6;3.6;0;0.0
DEM_3_22;795;6.34;6.34;0;0.0
DEM_3_23;844;6.73;6.73;0;0.0
DEM_3_24;746;5.95;5.95;0;0.0
DEM_3_25;797;6.35;6.35;0;0.0
DEM_3_26;781;6.23;6.23;0;0.0
DEM_3_27;639;5.09;5.09;0;0.0
DEM_3_28;916;7.3;7.3;0;0.0
DEM_3_29;1187;9.46;9.46;0;0.0
DEM_3_30;753;6.0;6.0;0;0.0
DEM_4_1;0;0.0;0.0;0;0.0
DEM_4_2;46;0.37;0.37;0;0.0
DEM_4_3;23;0.18;0.18;0;0.0
DEM_4_4;1135;9.05;9.05;0;0.0
DEM_4_5;1398;11.14;11.14;0;0.0
DEM_4_6;1394;11.11;11.11;0;0.0
DEM_4_7;1178;9.39;9.39;0;0.0
DEM_4_8;1410;11.24;11.24;0;0.0
DEM_4_9;1417;11.3;11.3;0;0.0
DEM_4_10;698;5.56;5.56;0;0.0
DEM_4_11;584;4.66;4.66;0;0.0
DEM_4_12;586;4.67;4.67;0;0.0
DEM_4_13;1017;8.11;8.11;0;0.0
DEM_4_14;1186;9.45;9.45;0;0.0
DEM_4_15;1110;8.85;8.85;0;0.0
DEM_4_16;741;5.91;5.91;0;0.0
DEM_4_17;787;6.27;6.27;0;0.0
DEM_4_18;763;6.08;6.08;0;0.0
DEM_4_19;753;6.0;6.0;0;0.0
DEM_4_20;828;6.6;6.6;0;0.0
DEM_4_21;799;6.37;6.37;0;0.0
DEM_4_22;541;4.31;4.31;0;0.0
DEM_4_23;617;4.92;4.92;0;0.0
DEM_4_24;519;4.14;4.14;0;0.0
DEM_4_25;367;2.93;2.93;0;0.0
DEM_4_26;496;3.95;3.95;0;0.0
DEM_4_27;410;3.27;3.27;0;0.0
DEM_4_28;323;2.57;2.57;0;0.0
DEM_4_29;433;3.45;3.45;0;0.0
DEM_4_30;350;2.79;2.79;0;0.0
DEM_4_31;684;5.45;5.45;0;0.0
DEM_4_32;664;5.29;5.29;0;0.0
DEM_4_33;537;4.28;4.28;0;0.0
DEM_4_34;772;6.15;6.15;0;0.0
DEM_4_35;896;7.14;7.14;0;0.0
DEM_4_36;596;4.75;4.75;0;0.0
DEM_5_1;0;0.0;0.0;0;0.0
DEM_5_2;1;0.01;0.01;0;0.0
DEM_5_3;2112;16.84;16.84;0;0.0
DEM_5_4;2828;22.54;22.54;0;0.0
DEM_5_5;4531;36.12;36.12;0;0.0
DEM_5_6;4452;35.49;35.49;0;0.0
DEM_5_7;10718;85.44;85.44;0;0.0
DEM_6_1;0;0.0;0.0;0;0.0
DEM_6_2;22;0.18;0.18;0;0.0
DEM_6_3;1492;11.89;11.89;0;0.0
DEM_6_4;1997;15.92;15.92;0;0.0
DEM_6_5;3682;29.35;29.35;0;0.0
DEM_6_6;3366;26.83;26.83;0;0.0
DEM_6_7;2425;19.33;19.33;0;0.0
REL_1_1;0;0.0;0.0;0;0.0
REL_1_2;1061;8.46;8.46;0;0.0
REL_1_3;637;5.08;5.08;0;0.0
REL_1_4;612;4.88;4.88;0;0.0
MIG_1_1;0;0.0;0.0;10357;82.57
MIG_1_2;0;0.0;0.0;10357;82.57
MIG_1_3;4;0.03;0.18;10357;82.57
MIG_1_4;73;0.58;3.34;10357;82.57
MIG_1_5;119;0.95;5.44;10357;82.57
MIG_1_6;688;5.48;31.46;10357;82.57
MIG_1_7;19;0.15;0.87;10357;82.57
MIG_1_8;75;0.6;3.43;10357;82.57
MIG_1_9;138;1.1;6.31;10357;82.57
MIG_1_10;437;3.48;19.98;10357;82.57
MIG_1_11;312;2.49;14.27;10357;82.57
MIG_2_1;22;0.18;1.01;10357;82.57
MIG_2_2;2001;15.95;91.5;10357;82.57
MIG_2_3;1409;11.23;64.43;10357;82.57
MIG_2_4;892;7.11;40.79;10357;82.57
MIG_2_5;594;4.74;27.16;10357;82.57
MIG_2_6;203;1.62;9.28;10357;82.57
MIG_2_7;192;1.53;8.78;10357;82.57
MIG_2_8;1613;12.86;73.75;10357;82.57
MIG_3_1;4;0.03;0.18;10357;82.57
MIG_3_2;77;0.61;3.52;10357;82.57
MIG_3_3;132;1.05;6.04;10357;82.57
MIG_3_4;104;0.83;4.76;10357;82.57
MIG_3_5;2165;17.26;98.99;10357;82.57
ERW_1_1;0;0.0;0.0;10357;82.57
ERW_1_2;0;0.0;0.0;10357;82.57
ERW_1_3;0;0.0;0.0;10357;82.57
ERW_1_4;0;0.0;0.0;10357;82.57
ERW_1_5;0;0.0;0.0;10357;82.57
ERW_1_6;0;0.0;0.0;10357;82.57
ERW_1_7;0;0.0;0.0;10357;82.57
ERW_1_8;0;0.0;0.0;10357;82.57
ERW_1_9;0;0.0;0.0;10357;82.57
ERW_1_10;111;0.88;5.08;10358;82.57
ERW_1_11;782;6.23;35.76;10357;82.57
ERW_1_12;853;6.8;39.0;10357;82.57
ERW_1_13;0;0.0;0.0;10357;82.57
ERW_1_14;0;0.0;0.0;10357;82.57
ERW_1_15;0;0.0;0.0;10357;82.57
ERW_2_1;0;0.0;0.0;10357;82.57
ERW_2_2;0;0.0;0.0;10357;82.57
ERW_2_3;85;0.68;3.89;10357;82.57
ERW_2_4;31;0.25;1.42;10357;82.57
ERW_2_5;20;0.16;0.91;10357;82.57
ERW_2_6;1815;14.47;82.99;10357;82.57
ERW_3_1;0;0.0;0.0;10357;82.57
ERW_3_2;44;0.35;2.01;10357;82.57
ERW_3_3;0;0.0;0.0;10357;82.57
ERW_3_4;0;0.0;0.0;10357;82.57
ERW_3_5;0;0.0;0.0;10357;82.57
ERW_3_6;0;0.0;0.0;10357;82.57
ERW_3_7;1621;12.92;74.12;10357;82.57
ERW_3_8;0;0.0;0.0;10357;82.57
ERW_3_9;7;0.06;0.32;10357;82.57
ERW_3_10;1;0.01;0.05;10357;82.57
ERW_3_11;1936;15.43;88.52;10357;82.57
ERW_4_1;0;0.0;0.0;10357;82.57
ERW_4_2;1303;10.39;59.58;10357;82.57
ERW_4_3;1;0.01;0.05;10357;82.57
ERW_4_4;17;0.14;0.78;10357;82.57
ERW_4_5;886;7.06;41.29;10398;82.89
ERW_4_6;307;2.45;14.04;10357;82.57
ERW_4_7;5;0.04;0.23;10357;82.57
ERW_4_8;40;0.32;1.83;10357;82.57
ERW_4_9;291;2.32;13.33;10361;82.6
ERW_4_10;0;0.0;0.0;10357;82.57
ERW_4_11;593;4.73;27.45;10384;82.78
ERW_4_12;155;1.24;7.09;10357;82.57
ERW_4_13;261;2.08;11.95;10359;82.58
ERW_4_14;18;0.14;0.82;10357;82.57
ERW_4_15;1843;14.69;84.35;10359;82.58
BIL_2_1;0;0.0;0.0;10357;82.57
BIL_2_2;0;0.0;0.0;10357;82.57
BIL_2_3;0;0.0;0.0;10357;82.57
BIL_2_4;534;4.26;24.42;10357;82.57
BIL_3_1;0;0.0;0.0;10357;82.57
BIL_3_2;0;0.0;0.0;10357;82.57
BIL_3_3;985;7.85;45.04;10357;82.57
BIL_3_4;178;1.42;8.14;10357;82.57
BIL_3_5;19;0.15;0.87;10357;82.57
BIL_3_6;1584;12.63;72.43;10357;82.57
BIL_3_7;913;7.28;41.75;10357;82.57
BIL_4_1;0;0.0;0.0;10357;82.57
BIL_4_2;0;0.0;0.0;10357;82.57
BIL_4_3;3;0.02;0.14;10357;82.57
BIL_4_4;58;0.46;2.65;10357;82.57
BIL_4_5;0;0.0;0.0;10357;82.57
BIL_4_6;0;0.0;0.0;10357;82.57
BIL_4_7;0;0.0;0.0;10357;82.57
BIL_4_8;534;4.26;24.42;10357;82.57
BIL_4_9;0;0.0;0.0;10357;82.57
BIL_4_10;0;0.0;0.0;10357;82.57
BIL_5_1;0;0.0;0.0;10357;82.57
BIL_5_2;0;0.0;0.0;10357;82.57
BIL_5_3;0;0.0;0.0;10357;82.57
BIL_5_4;0;0.0;0.0;10357;82.57
BIL_5_5;917;7.31;41.93;10357;82.57
BIL_5_6;0;0.0;0.0;10357;82.57
BIL_5_7;1;0.01;0.05;10357;82.57
BIL_5_8;1407;11.22;64.33;10357;82.57
GEB_1_1;487;3.88;3.88;0;0.0
GEB_1_2;587;4.68;4.68;0;0.0
GEB_1_3;584;4.66;4.66;0;0.0
GEB_1_4;10097;80.49;80.49;0;0.0
GEB_1_5;2985;23.8;23.8;0;0.0
GEB_2_1;487;3.88;3.88;0;0.0
GEB_2_2;2905;23.16;23.16;0;0.0
GEB_2_3;2982;23.77;23.77;0;0.0
GEB_2_4;3607;28.75;28.75;0;0.0
GEB_2_5;3397;27.08;27.08;0;0.0
GEB_2_6;2933;23.38;23.38;0;0.0
GEB_2_7;3031;24.16;24.16;0;0.0
GEB_2_8;3189;25.42;25.42;0;0.0
GEB_2_9;3673;29.28;29.28;0;0.0
GEB_2_10;4025;32.09;32.09;0;0.0
GEB_3_1;487;3.88;3.88;0;0.0
GEB_3_2;2905;23.16;23.16;0;0.0
GEB_3_3;2880;22.96;22.96;0;0.0
GEB_3_4;2179;17.37;17.37;0;0.0
GEB_3_5;2974;23.71;23.71;0;0.0
GEB_3_6;3741;29.82;29.82;0;0.0
GEB_3_7;3251;25.92;25.92;0;0.0
GEB_3_8;3121;24.88;24.88;0;0.0
GEB_3_9;3436;27.39;27.39;0;0.0
GEB_3_10;3867;30.83;30.83;0;0.0
GEB_3_11;4752;37.88;37.88;0;0.0
GEB_4_1;487;3.88;3.88;0;0.0
GEB_4_2;3251;25.92;25.92;0;0.0
GEB_4_3;616;4.91;4.91;0;0.0
GEB_4_4;9522;75.91;75.91;0;0.0
GEB_4_5;5791;46.17;46.17;0;0.0
GEB_4_6;8370;66.73;66.73;0;0.0
GEB_4_7;6913;55.11;55.11;0;0.0
GEB_4_8;9976;79.53;79.53;0;0.0
GEB_4_9;7094;56.55;56.55;0;0.0
GEB_5_1;487;3.88;3.88;0;0.0
GEB_5_2;4798;38.25;38.25;0;0.0
GEB_5_3;4104;32.72;32.72;0;0.0
GEB_5_4;5672;45.22;45.22;0;0.0
GEB_5_5;1134;9.04;9.04;0;0.0
GEB_5_6;3351;26.71;26.71;0;0.0
GEB_5_7;4818;38.41;38.41;0;0.0
GEB_6_1;487;3.88;3.88;0;0.0
GEB_6_2;1003;8.0;8.0;0;0.0
GEB_6_3;2486;19.82;19.82;0;0.0
GEB_6_4;3005;23.96;23.96;0;0.0
GEB_6_5;6505;51.86;51.86;0;0.0
GEB_6_6;9161;73.03;73.03;0;0.0
GEB_7_1;487;3.88;3.88;0;0.0
GEB_7_2;1046;8.34;8.34;0;0.0
GEB_7_3;3174;25.3;25.3;0;0.0
GEB_7_4;3416;27.23;27.23;0;0.0
GEB_7_5;3562;28.4;28.4;0;0.0
WHG_1_1;361;2.88;2.88;0;0.0
WHG_1_2;409;3.26;3.26;0;0.0
WHG_1_3;411;3.28;3.28;0;0.0
WHG_1_4;8732;69.61;69.61;0;0.0
WHG_1_5;2998;23.9;23.9;0;0.0
WHG_2_1;0;0.0;0.0;11978;95.49
WHG_2_2;0;0.0;0.0;11978;95.49
WHG_2_3;0;0.0;0.0;11978;95.49
WHG_2_4;0;0.0;0.0;11978;95.49
WHG_2_5;0;0.0;0.0;11978;95.49
WHG_2_6;0;0.0;0.0;11978;95.49
WHG_2_7;0;0.0;0.0;11978;95.49
WHG_2_8;0;0.0;0.0;11978;95.49
WHG_2_9;0;0.0;0.0;11978;95.49
WHG_2_10;3;0.02;0.53;11978;95.49
WHG_3_1;359;2.86;2.86;0;0.0
WHG_3_2;3102;24.73;24.73;0;0.0
WHG_3_3;3156;25.16;25.16;0;0.0
WHG_3_4;2205;17.58;17.58;0;0.0
WHG_3_5;3076;24.52;24.52;0;0.0
WHG_3_6;3844;30.64;30.64;0;0.0
WHG_3_7;3323;26.49;26.49;0;0.0
WHG_3_8;3346;26.67;26.67;0;0.0
WHG_3_9;3724;29.69;29.69;0;0.0
WHG_3_10;4061;32.37;32.37;0;0.0
WHG_3_11;4909;39.13;39.13;0;0.0
WHG_4_1;359;2.86;2.86;0;0.0
WHG_4_2;2775;22.12;22.12;0;0.0
WHG_4_3;612;4.88;4.88;0;0.0
WHG_4_4;9112;72.64;72.64;0;0.0
WHG_4_5;5367;42.79;42.79;0;0.0
WHG_4_6;7737;61.68;61.68;0;0.0
WHG_4_7;6468;51.56;51.56;0;0.0
WHG_4_8;9695;77.29;77.29;0;0.0
WHG_4_9;6759;53.88;53.88;0;0.0
WHG_5_1;359;2.86;2.86;0;0.0
WHG_5_2;4688;37.37;37.37;0;0.0
WHG_5_3;3967;31.62;31.62;0;0.0
WHG_5_4;5417;43.18;43.18;0;0.0
WHG_5_5;866;6.9;6.9;0;0.0
WHG_5_6;3358;26.77;26.77;0;0.0
WHG_5_7;4774;38.06;38.06;0;0.0
WHG_6_1;359;2.86;2.86;0;0.0
WHG_6_2;950;7.57;7.57;0;0.0
WHG_6_3;2048;16.33;16.33;0;0.0
WHG_6_4;4855;38.7;38.7;0;0.0
WHG_6_5;2655;21.17;21.17;0;0.0
WHG_7_1;359;2.86;2.86;0;0.0
WHG_7_2;4425;35.28;35.28;0;0.0
WHG_7_3;3032;24.17;24.17;0;0.0
WHG_7_4;2835;22.6;22.6;0;0.0
WHG_7_5;2908;23.18;23.18;0;0.0
WHG_7_6;2970;23.68;23.68;0;0.0
WHG_7_7;3089;24.63;24.63;0;0.0
WHG_7_8;3329;26.54;26.54;0;0.0
WHG_7_9;3669;29.25;29.25;0;0.0
WHG_7_10;3825;30.49;30.49;0;0.0
WHG_7_11;3587;28.6;28.6;0;0.0
WHG_8_1;359;2.86;2.86;0;0.0
WHG_8_2;5304;42.28;42.28;0;0.0
WHG_8_3;3455;27.54;27.54;0;0.0
WHG_8_4;2813;22.43;22.43;0;0.0
WHG_8_5;2745;21.88;21.88;0;0.0
WHG_8_6;2834;22.59;22.59;0;0.0
WHG_8_7;2894;23.07;23.07;0;0.0
WHG_8_8;2666;21.25;21.25;0;0.0
WHG_9_1;359;2.86;2.86;0;0.0
WHG_9_2;901;7.18;7.18;0;0.0
WHG_9_3;3207;25.57;25.57;0;0.0
WHG_9_4;3336;26.59;26.59;0;0.0
WHG_9_5;3574;28.49;28.49;0;0.0
